Catégorie,Question,Option 1,Option 2,Option 3,Réponse Correcte
Culture,Quel est le plat national du Togo ?,Fufu,Pâte-sauce,Riz-sauce,Pâte-sauce
Culture,Quelle tradition régit le rapport aux ancêtres ?,Vénération,Oubli,Mépris,Vénération
Culture,Quel art textile est développé au Togo ?,Tissage,Broderie,Dentelle,Tissage
Culture,Comment appelle-t-on le conseil des anciens ?,Dwoèvi,Elders,Cheickhat,Dwoèvi
Culture,Quel est le sens du terme "Ubuntu" au Togo ?,Je suis parce que tu es,Liberté,Justice,Je suis parce que tu es
Culture,Quelle cérémonie marque l'initiation chez les Kabyè ?,Gadao,Evala,Adowa,Evala

Sport,Quel sport utilise un ballon rond ?,Football,Tennis,Natation,Football
Sport,Quel est le surnom de l'équipe nationale de football ?,Les Aigles,Les Eperviers,Les Lions,Les Eperviers
Sport,Quel joueur togolais a remporté le Ballon d'or africain en 2008 ?,Emanuel Adebayor,Kossi Agassa,Moustapha Salifou,Emanuel Adebayor
Sport,Dans quel club européen Adebayor n'a-t-il JAMAIS joué ?,Arsenal,Real Madrid,Bayern Munich,Bayern Munich
Sport,En quelle année le Togo a-t-il participé à la Coupe du Monde ?,2002,2006,2010,2006
Sport,Quel athlète a remporté la première médaille olympique du Togo (Bronze) ?,Benjamin Boukpeti,Yao Komlavi,Claire Akossiwa,Benjamin Boukpeti
Sport,Dans quelle discipline Benjamin Boukpeti a-t-il brillé ?,Judo,Kayak slalom,Athlétisme,Kayak slalom
Sport,Quel est le stade principal de Lomé ?,Stade de Kégué,Stade municipal,Stade Omnisports,Stade de Kégué
Sport,Quelle ville accueille souvent les compétitions de lutte Evala ?,Sokodé,Kara,Atakpamé,Kara
Sport,Comment s'appelle la fédération de football du pays ?,FTF,FETOFO,ATF,FTF
Sport,Quel est le plus grand stade du Togo ?,Stade de Kégué,Stade du 24-Janvier,Stade d'Aného,Stade de Kégué
Sport,En quelle année le Togo a-t-il remporté un match à la Coupe du Monde ?,2006,2002,2010,2006
Sport,Quel est le palmarès du Togo aux Jeux Olympiques ?,1 médaille,2 médailles,3 médailles,1 médaille
Sport,Quel sport est très populaire dans les villages ?,Lutte traditionnelle,Cricket,Rugby,Lutte traditionnelle
Sport,Quel joueur togolais a joué pour Manchester City ?,Emanuel Adebayor,Kossi Agassa,Moustapha Salifou,Emanuel Adebayor
Sport,Qui a entraîné l'équipe nationale lors de la Coupe du Monde 2006 ?,Rolf Tomlinson,Otto Pfister,Hans Sieber,Otto Pfister
Sport,Quel est le sport secondaire le plus pratiqué au Togo ?,Athlétisme,Tennis,Badminton,Athlétisme
Sport,Quelle ville accueille le plus de matchs de football ?,Lomé,Kara,Sokodé,Lomé
Sport,Quel exploit a marqué la participation du Togo à la Coupe du Monde ?,Atteindre les quarts,Battre la France,Atteindre la phase de groupes,Atteindre la phase de groupes
Sport,Quelle est la rivalité majeure au football togolais ?,Togo vs Ghana,Togo vs Bénin,Togo vs Nigéria,Togo vs Ghana
Sport,En quelle année Benjamin Boukpeti a-t-il remporté sa médaille ?,2004,2008,2012,2004
Sport,Quel athlète togolais a participé au décathlon ?,Jean-Paul Nkou,Yao Komlavi,Claire Akossiwa,Jean-Paul Nkou
Sport,Quelle est la principale compétition footballistique locale ?,Championnat National,Coupe du Togo,Ligue des Champions,Championnat National
Sport,Quel club a le plus remporté de titres au Togo ?,Dynamic Togolais,AS Douanes,Buffles du Benin,Dynamic Togolais
Sport,En quelle année le tennis s'est-il développé au Togo ?,1980,1990,2000,1990
Sport,Quel sport aquatique est pratiqué à Lomé ?,Voile,Natation,Aviron,Voile
Sport,Combien de fois le Togo a-t-il participé à la Coupe du Monde ?,1 fois,2 fois,3 fois,1 fois
Sport,Quel est le record du Togo aux qualifications de la Coupe du Monde ?,2 participations,3 participations,4 participations,1 fois
Sport,Qui a marqué le premier but du Togo à la Coupe du Monde ?,Emanuel Adebayor,Komlan Amewu,Moustapha Salifou,Emanuel Adebayor
Sport,Quel sport automobile se pratique au Togo ?,Rallye,Formule 1,NASCAR,Rallye
Sport,Combien de disciplines le Togo représente aux Jeux Olympiques ?,5,8,10,8
Sport,Quel athlète togolais a battu des records continentaux ?,Benjamin Boukpeti,Claire Akossiwa,Yao Komlavi,Benjamin Boukpeti
Sport,Quelle est la capacité du Stade de Kégué ?,25 000,30 000,35 000,30 000

Institutions,Quelle est la devise du Togo ?,Travail-Liberté-Patrie,Union-Paix-Solidarité,Justice-Paix-Travail,Travail-Liberté-Patrie
Institutions,Quelle est la couleur dominante du drapeau togolais ?,Rouge,Vert,Jaune,Vert
Institutions,Que représente l'étoile blanche sur le drapeau ?,L'indépendance,La pureté,L'espoir,L'espoir
Institutions,Qui est le Président actuel de la République (2024) ?,Faure Gnassingbé,Gilbert Houngbo,Victoire Dogbé,Faure Gnassingbé
Institutions,Quel est le nom de l'hymne national ?,Terre de nos aïeux,Debout Congolais,L'Abidjanaise,Terre de nos aïeux
Institutions,Quelle institution s'occupe des élections au Togo ?,CENI,HAAC,Cour Constitutionnelle,CENI
Institutions,Quel est le titre du chef du gouvernement ?,Premier Ministre,Chancelier,Président du Conseil,Premier Ministre
Institutions,Où siège l'Assemblée Nationale ?,Palais des Congrès,Palais de la Marina,Hôtel de ville,Palais des Congrès
Institutions,Combien de couleurs compose le drapeau togolais (hors étoile) ?,2,3,4,3
Institutions,Quelle est la langue officielle du Togo ?,Anglais,Français,Allemand,Français
Institutions,Quel est le système de gouvernement au Togo ?,Présidentiel,Parlementaire,Monarchique,Présidentiel
Institutions,Combien de sièges compte l'Assemblée Nationale ?,91,101,110,91
Institutions,Quel est le ministère responsable de la Défense ?,Ministère de la Défense,Ministère de la Sécurité,Ministère de l'Ordre Public,Ministère de la Défense
Institutions,Quelle est la Cour suprême du Togo ?,Cour Constitutionnelle,Cour de Cassation,Cour d'Appel,Cour Constitutionnelle
Institutions,Combien de circonscriptions électorales compte le Togo ?,30,35,40,35
Institutions,Quel parti politique gouverne depuis 2020 ?,RPT,UNIR,ADP,UNIR
Institutions,Quel est le taux de scrutin pour les élections présidentielles ?,Simple majorité,Majorité qualifiée,Accord unanime,Simple majorité
Institutions,Que représente le Palais des Congrès ?,Lieu de réunion du gouvernement,Siège du Président,Siège de l'Assemblée Nationale,Siège de l'Assemblée Nationale
Institutions,Quel ministère gère l'Éducation ?,Ministère de l'Éducation,Ministère du Développement Social,Ministère de la Culture,Ministère de l'Éducation
Institutions,Qui préside l'Assemblée Nationale ?,Le Président de la République,Le Président de l'Assemblée,Le Premier Ministre,Le Président de l'Assemblée
Institutions,Quel est le quorum nécessaire à l'Assemblée Nationale ?,Majorité absolue,Deux-tiers,Unanimité,Majorité absolue
Institutions,Quel ministère supervise la Police ?,Ministère de l'Intérieur,Ministère de la Justice,Ministère de la Défense,Ministère de l'Intérieur
Institutions,Combien de vice-présidents compte la Cour Constitutionnelle ?,2,3,4,3
Institutions,Quel est le mandat présidentiel au Togo ?,4 ans,5 ans,6 ans,5 ans
Institutions,Combien de mandats un président peut-il accomplir ?,2,3,Illimité,2
Institutions,Quel document fonde la République ?,La Constitution,La Charte,La Déclaration,La Constitution
Institutions,Quelle est l'importance du Palais de la Marina ?,Siège du gouvernement,Palais royal,Musée national,Siège du gouvernement
Institutions,Combien de ministères compte le gouvernement togolais ?,20,25,30,25
Institutions,Quel est le rôle principal du Premier Ministre ?,Chef du gouvernement,Chef d'État,Conseiller présidentiel,Chef du gouvernement
Institutions,Qui nomme les ministres ?,L'Assemblée Nationale,Le Président de la République,Le Peuple,Le Président de la République
Institutions,Quel est le processus de révision constitutionnelle ?,Vote au Parlement,Référendum,Initiative présidentielle,Vote au Parlement
Institutions,Quelle agence gère les ressources naturelles ?,Ministère des Mines,Ministère de l'Énergie,Ministère de l'Environnement,Ministère des Mines
Institutions,Quel est le statut juridique du Togo ?,République,Monarchie,État fédéral,République
Institutions,Qui est responsable de la Santé publique ?,Ministère de la Santé,Ministère du Travail,Ministère de la Justice,Ministère de la Santé
Institutions,Quel est le système judiciaire au Togo ?,Civil,Common law,Coutumier,Civil
Institutions,Combien de chambres compte la Cour de Cassation ?,3,4,5,4
Institutions,Quel ministère gère l'Agriculture ?,Ministère de l'Agriculture,Ministère du Commerce,Ministère de l'Industrie,Ministère de l'Agriculture
Institutions,Qu'est-ce que le HAAC ?,Haute Autorité de l'Audiovisuel,Haut Conseil Administratif,Haut Conseil d'Audit,Haute Autorité de l'Audiovisuel
Institutions,Quel est le rôle de la CENI ?,Organiser les élections,Contrôler l'économie,Surveiller la justice,Organiser les élections
